,blue_gold,blue_kda,blue_win,blue_towers,blue_barons,blue_dragons,blue_mastery,red_gold,red_kda,red_win,red_towers,red_barons,red_dragons,red_mastery,win,teamId,id
0,43.99813385646278,3.7120466004583648,0.68,5.56,0.36,1.64,1484578,44.77488273816841,4.632173160173159,0.56,5.0,0.48,1.52,865363,1,100,BR1_2332023009
1,49.35365560460546,4.116187590187591,0.48,5.2,0.32,1.44,1143966,47.67791324238559,4.681955266955267,0.56,6.08,0.64,1.88,187976,1,200,BR1_2331869184
2,43.11328463692004,3.9800952380952377,0.48,4.88,0.48,1.52,227362,41.531938400980486,3.264167812579577,0.68,5.52,0.36,1.68,419139,1,200,BR1_2331846144
3,43.13293762202783,4.172079365079366,0.36,4.56,0.2,1.52,1241941,40.11694940296415,3.4844718614718606,0.64,5.6,0.64,2.0,3263248,1,200,BR1_2331699359
4,48.039552495594215,2.728313797313798,0.64,5.64,0.32,1.52,412685,42.03441790423088,3.1502698412698407,0.56,5.72,0.48,1.88,323030,1,200,BR1_2331717806
5,37.69048928089241,4.442431457431457,0.68,6.8,0.76,1.92,429008,40.364646552123645,4.3204126984126985,0.84,7.28,0.44,1.84,635263,1,200,BR1_2329939364
6,53.37112876897443,2.844666666666667,0.6,4.56,0.24,1.2,1573927,41.99621759917034,4.520666666666667,0.84,7.08,0.4,1.92,28687,1,200,BR1_2329954426
7,45.01928776543162,3.006359418359418,0.28,2.48,0.08,1.0,154901,43.48947870650744,4.471523809523809,0.72,6.4,0.44,1.84,246929,1,200,BR1_2329911311
8,45.55307649944611,2.3120909090909088,0.44,3.24,0.24,1.08,1397428,43.14601115733692,4.1380086580086575,0.76,6.24,0.36,1.84,44500,1,200,BR1_2329887539
9,46.22378155046782,4.499746031746031,0.72,6.16,0.36,1.84,1173367,42.02524389603524,2.404527583527583,0.44,4.52,0.56,1.48,136767,1,100,BR1_2329847327
10,39.55496380393267,4.472686868686869,0.44,4.44,0.44,1.52,3461236,45.180451821031696,3.8662288822288833,0.64,5.32,0.28,1.2,2455618,0,100,BR1_2332195604
11,38.25456014398903,3.3264329004329003,0.48,4.08,0.16,1.2,2920426,40.35011174070416,2.280196692196692,0.28,4.2,0.44,1.44,5826729,1,100,BR1_2332230674
12,39.553824233885415,4.162670995670996,0.64,4.6,0.4,1.88,652465,42.38113165216028,3.321888888888888,0.44,4.44,0.52,1.28,1922362,1,100,BR1_2332142759
13,40.94516961801337,2.9363722943722945,0.44,5.28,0.52,1.48,2169142,38.32880465898807,3.2040202020202013,0.36,3.52,0.2,1.36,3834857,0,200,BR1_2331890843
14,42.75580815043163,2.8664805194805183,0.48,4.04,0.2,1.16,828558,43.1825838616717,4.4839962259962265,0.4,4.28,0.44,1.2,578839,0,100,BR1_2331707059
